Category,Company Name,Industry / Category,Website URL,Country,Estimated Company Size,What the company does,Target Role for Outreach,Why this company might need more leads / sales / automation,Suggested outreach angle,Mock contact email
"B2B SaaS","Zoom","Video conferencing SaaS","https://zoom.us","United States","Large (200–1000)","Zoom provides video conferencing and unified communications tools for businesses.","Head of Sales","Needs to upsell to enterprise UCaaS contracts beyond self-serve users.","Outbound to IT and procurement leaders proposing consolidation of conferencing and telephony.","saleslead@zoom.us"
"B2B SaaS","Zendesk","Customer support SaaS","https://www.zendesk.com","United States","Large (200–1000)","Zendesk offers customer support, ticketing, and help desk solutions for businesses.","Head of Customer Support","Must continuously win competitive evaluations as companies modernize support.","Outbound to support leaders struggling with legacy help desk tools to showcase faster time-to-resolution.","supportlead@zendesk.com"

"Fintech","Stripe","Payment infrastructure","https://stripe.com","United States","Large (200–1000)","Stripe provides APIs and tools for online payments, billing, and financial operations for internet businesses.","Head of Partnerships","Relies strongly on ISV, platform, and agency partners to drive new merchants to Stripe.","Target product and partnership leaders at SaaS platforms to drive co‑selling and integrated payment offerings.","partners@stripe.com"
"Fintech","Adyen","Global payments platform","https://www.adyen.com","Netherlands","Large (200–1000)","Adyen offers a unified payments platform for global enterprises across online, in‑store, and mobile channels.","VP Sales","Competes for large enterprise deals; needs warm entry into complex global merchants.","Map global retailers and run multi‑threaded outreach to payments and finance leaders with regionalized messaging.","sales@adyen.com"
"Fintech","Wise","Cross‑border payments","https://wise.com","United Kingdom","Large (200–1000)","Wise provides low‑cost international transfers and multi‑currency accounts for individuals and businesses.","Head of Business Banking","SMB business accounts are fragmented across banks; outbound into exporters and remote teams is critical.","Target CFOs at remote‑first companies to showcase savings on payroll and supplier payments.","business@wise.com"
"Fintech","Revolut","Digital banking / finance app","https://www.revolut.com","United Kingdom","Large (200–1000)","Revolut is a digital banking app offering accounts, cards, FX, and business banking features.","Head of SMB Sales","Needs to win more SME accounts away from legacy banks using targeted, education‑driven outreach.","Automate outbound to founders and finance leads at SMEs frustrated with legacy banking fees.","smb@revolut.com"
"Fintech","Brex","Corporate cards & spend","https://www.brex.com","United States","Large (200–1000)","Brex offers corporate cards, expense management, and spend control for startups and enterprises.","CFO","Targets funded startups and scaleups; outbound around funding events is key to grabbing mindshare.","Trigger campaigns on new funding rounds to show how Brex controls burn and simplifies reporting.","cfo@brex.com"
"Fintech","Ramp","Spend management","https://ramp.com","United States","Large (200–1000)","Ramp provides corporate cards and spend optimization software focused on saving companies money.","VP Finance","To sustain growth, it must systematically reach finance teams hunting for cost savings and controls.","Data-driven outbound promising measurable cost savings vs existing card and expense tools.","finance@ramp.com"
"Fintech","Airwallex","Cross‑border payments","https://www.airwallex.com","Australia","Large (200–1000)","Airwallex offers cross‑border payment, FX, and treasury solutions for global businesses.","Head of Global Expansion","Scaling merchants need better FX and payout infrastructure in new regions.","Outreach to ecommerce and SaaS companies expanding abroad with offers to simplify FX and local payouts.","global@airwallex.com"
"Fintech","Checkout.com","Payment processing","https://www.checkout.com","United Kingdom","Large (200–1000)","Checkout.com provides online payment processing and acquiring for global merchants.","Head of Ecommerce","Enterprise prospects are hard to reach via inbound alone; deals are long and multi‑stakeholder.","Account-based outbound to digital leaders at large retailers highlighting uptime and conversion wins.","ecom@checkout.com"
"Fintech","Klarna","Buy now, pay later","https://www.klarna.com","Sweden","Large (200–1000)","Klarna offers buy‑now‑pay‑later and payment solutions mainly for ecommerce merchants.","Head of Partnerships","Needs continuous pipeline of merchants and platform partners to embed Klarna at checkout.","Partner-led outreach to ecommerce agencies and platforms to drive merchant referrals.","partners@klarna.com"
"Fintech","N26","Digital bank","https://n26.com","Germany","Medium (50–200)","N26 is a mobile-first digital bank offering accounts, cards, and budgeting tools.","Head of Growth","Must acquire cost-sensitive, digital‑native customers efficiently in competitive EU markets.","Automate outbound to freelancers and small businesses who struggle with legacy bank UX and fees.","growth@n26.com"
"Fintech","Mercury","Startup banking","https://mercury.com","United States","Medium (50–200)","Mercury offers banking services tailored to startups with online accounts and tools.","Founder / CEO","Relies on startup ecosystems and funded founders; outbound around accelerator and funding data is key.","Target newly incorporated and recently funded startups with tailored banking offers.","founders@mercury.com"
"Fintech","Chime","Neobank / consumer finance","https://www.chime.com","United States","Large (200–1000)","Chime is a neobank offering fee‑light consumer banking and debit products.","Head of Partnerships","Needs to partner with employers and brands to reach new users beyond pure performance marketing.","Outreach to HR and benefits leaders to position Chime accounts as part of employee financial wellness.","partners@chime.com"
"Fintech","Plaid","Financial data APIs","https://plaid.com","United States","Large (200–1000)","Plaid provides APIs that connect bank accounts to fintech apps and financial services.","Head of Developer Relations","To grow, must onboard more fintech and SaaS builders integrating its APIs.","Developer-focused outbound nurturing product teams at fintechs and SaaS tools that need banking connectivity.","devrel@plaid.com"
"Fintech","Tipalti","Accounts payable automation","https://tipalti.com","United States","Large (200–1000)","Tipalti offers AP automation and global payouts for high‑volume payers.","Controller / VP Finance","Targets mid‑market finance teams with complex payables; outbound is critical to reach them at scale.","Outbound to controllers handling large volumes of invoices and contractor payouts, focused on error reduction.","ap@tipalti.com"
"Fintech","Navan","Travel & expense platform","https://navan.com","United States","Large (200–1000)","Navan (formerly TripActions) provides corporate travel and expense management software.","Head of Procurement","Must find companies with significant travel spend to show savings vs legacy T&E tools and agencies.","Identify firms with heavy travel footprints and run outbound centered on savings and employee experience.","procurement@navan.com"
"Fintech","Payoneer","Cross-border payments platform","https://www.payoneer.com","United States","Large (200–1000)","Payoneer is a payment solution that enables small businesses and freelancers to send and receive cross-border payments worldwide.","Head of SMB Sales","Needs to win more small business and marketplace sellers in competitive cross-border payments.","Outbound to ecommerce sellers and freelancers on marketplaces to showcase lower fees and easier payouts.","sales@payoneer.com"

"Marketing Agency","Refine Labs","B2B demand generation agency","https://www.refinelabs.com","United States","Medium (50–200)","Refine Labs is a B2B demand generation agency focused on revenue programs for SaaS companies.","CEO","Relies on a consistent flow of qualified SaaS and tech clients; founder and partners often sell deals themselves.","Outbound to CMOs and VPs Marketing at PLG SaaS, positioning a repeatable demand engine and dark‑social expertise.","ceo@refinelabs.com"
"Marketing Agency","Munro Agency","B2B demand gen / automation","https://www.munro.agency","United Kingdom","Small (10–50)","Munro Agency is a boutique B2B demand generation and marketing automation agency for SMBs and scaleups.","Managing Director","Small team means limited outbound capacity; pipeline risk if referrals slow down.","Automate list building and outreach to founders and marketing leaders in their ICP niches.","info@munro.agency"
"Marketing Agency","Gorilla 76","Industrial marketing agency","https://www.gorilla76.com","United States","Small (10–50)","Gorilla 76 is a B2B marketing agency specializing in manufacturing and industrial clients.","Co‑founder","Niche ICP (industrial firms) requires targeted prospecting into specific plants and divisions.","Provide account-based outbound into manufacturers with tailored messaging around pipeline from complex deals.","founder@gorilla76.com"
"Marketing Agency","Blend B2B","SaaS demand gen agency","https://www.blendb2b.com","United Kingdom","Small (10–50)","Blend is a B2B agency focused on SaaS demand generation and HubSpot-driven growth programs.","Head of Sales","Competes with many SaaS-focused agencies and must stand out with highly relevant outreach.","Build hyper-targeted lists of SaaS CMOs running HubSpot and sequence them with differentiated case studies.","sales@blendb2b.com"
"Marketing Agency","Ziggy Agency","B2B SaaS demand gen","https://www.ziggy.agency","United Kingdom","Small (10–50)","Ziggy Agency delivers performance-focused demand generation for B2B SaaS companies.","Founder","Small team with ambitious growth targets; needs steady inflow of qualified SaaS leads.","Outreach to Series A–C SaaS companies promising pipeline, not just MQL volume.","hello@ziggy.agency"
"Marketing Agency","MarketBridge","Growth consulting & demand","https://www.market-bridge.com","United States","Medium (50–200)","MarketBridge provides growth consulting and integrated demand generation for B2B brands.","VP Business Development","Targets large, complex enterprises; outbound is needed to reach buying committees.","Multi‑threaded outreach into enterprise marketing and sales leaders around integrated demand programs.","bd@market-bridge.com"
"Marketing Agency","GrowthSpree","B2B demand gen agency","https://growthspreeofficial.com","India","Small (10–50)","GrowthSpree is a B2B demand generation agency specializing in SaaS and tech companies.","Founder","Must consistently find SaaS clients globally; founders still handle much of sales.","Automate LinkedIn + email outbound into SaaS CMOs and CEOs with clear ROI narratives.","founder@growthspreeofficial.com"
"Marketing Agency","Dapper","Growth marketing agency","https://www.dapperagency.com","Netherlands","Small (10–50)","Dapper is a growth marketing agency helping startups and scaleups with acquisition and retention.","Head of Growth","Client work leaves little time for structured outbound; risk of feast‑and‑famine project pipeline.","Outbound to VC portfolios and accelerators to secure warm intros and retainer‑style engagements.","growth@dapperagency.com"
"Marketing Agency","Directive Consulting","B2B performance marketing","https://directiveconsulting.com","United States","Medium (50–200)","Directive is a performance marketing agency serving B2B SaaS and tech companies.","VP Sales","Large pipeline targets across North America and EMEA; outbound is needed to complement inbound.","Target revenue leaders at mid‑market SaaS firms with performance-based demand programs.","sales@directiveconsulting.com"
"Marketing Agency","SmartBug Media","Inbound & lifecycle marketing","https://www.smartbugmedia.com","United States","Medium (50–200)","SmartBug Media is a full‑service inbound and lifecycle marketing agency focused on HubSpot ecosystems.","Head of Partnerships","Needs steady inflow of HubSpot-centric clients and partner referrals.","Automate outreach to HubSpot users and agencies to generate co‑marketing and referral deals.","partners@smartbugmedia.com"
"Marketing Agency","Siege Media","Content marketing agency","https://www.siegemedia.com","United States","Medium (50–200)","Siege Media is a content marketing and SEO agency serving SaaS and ecommerce brands.","VP Client Services","Growth depends on landing high‑value retainers; sales cycles hinge on educating prospects via content.","Outbound to CMOs with tailored content performance audits as a door‑opener.","hello@siegemedia.com"
"Marketing Agency","KlientBoost","Performance marketing agency","https://klientboost.com","United States","Medium (50–200)","KlientBoost offers PPC, paid social, and CRO services for B2B and ecommerce companies.","Head of Sales","Needs a reliable lead flow beyond referrals; outbound can target specific verticals like SaaS or ecommerce.","Segmented outbound by vertical, offering quick win audits for paid channels.","sales@klientboost.com"
"Marketing Agency","Ladder.io","Growth marketing agency","https://ladder.io","United States","Medium (50–200)","Ladder.io provides data-driven growth marketing services for startups and scaleups.","CEO","Scaling globally with remote teams; outbound can identify startups hitting new growth stages.","Outreach to VC portfolios offering playbooks to accelerate post‑funding growth.","ceo@ladder.io"
"Marketing Agency","CXL Agency","Conversion optimization & growth","https://cxl.com/agency","United States","Small (10–50)","CXL Agency focuses on CRO and experimentation programs for digital products and SaaS.","Head of Product Marketing","CRO is often a “nice to have”; they must educate and win over skeptical stakeholders.","Outbound to product and marketing leaders with specific experiment ideas and uplift forecasts.","agency@cxl.com"
"Marketing Agency","Martal Group","B2B lead gen agency","https://martal.ca","Canada","Medium (50–200)","Martal Group is a B2B lead generation agency offering outsourced SDRs and multichannel outreach.","VP Sales","Their own SDR team must stay fully utilized and booked; they must constantly add new B2B accounts.","Meta-angle: show how AI SDRs can augment Martal’s human SDRs to improve meeting quality and volume.","vp.sales@martal.ca"
"Marketing Agency","Animalz","Content marketing agency","https://www.animalz.co","United States","Small (10–50)","Animalz is a content marketing agency providing content strategy and creation to B2B SaaS and tech companies.","Head of Sales","Relies on long-term retainers with SaaS brands; needs a steady flow of qualified prospects.","Outbound to SaaS CMOs with thought-leadership content programs tied to pipeline impact.","sales@animalz.co"

"Recruitment / HR","GoGloby","Tech & AI recruitment","https://gogloby.com","United States","Small (10–50)","GoGloby helps startups build tech and AI teams with nearshore engineers and embedded recruitment.","Founder","Startup clients are cyclical; needs constant pipeline of funded tech companies hiring quickly.","Outbound to founders and CTOs at recently funded startups needing fast engineering hires.","founder@gogloby.com"
"Recruitment / HR","Hunt Club","Executive & startup recruiting","https://www.huntclub.com","United States","Medium (50–200)","Hunt Club is a recruiting firm using a referral-driven network to place leaders at high‑growth startups.","Head of Business Development","Relies on relationships with VCs and founders; needs structured outreach to new ecosystems.","Automate outreach to VC partners and portfolio founders with warm-intro style messaging.","bd@huntclub.com"
"Recruitment / HR","Motion Recruitment","Tech staffing agency","https://www.motionrecruitment.com","United States","Large (200–1000)","Motion Recruitment provides IT staffing and recruitment services across North America.","Regional Director","High volume of open roles requires continuous sourcing of new client companies and hiring managers.","Target engineering leaders and HR at tech companies scaling headcount in key hubs.","director@motionrecruitment.com"
"Recruitment / HR","TalentHub","Startup recruitment agency","https://www.talenthub.ee","Estonia","Small (10–50)","TalentHub is a recruitment partner focused on startups and fast‑growing companies.","Co‑founder","Specialized niche means outbound to startup hubs is vital; inbound alone is limited.","Outreach to founders and people leads in Baltic and EU startup ecosystems with success stories.","hello@talenthub.ee"
"Recruitment / HR","DevsData","Tech recruitment & consulting","https://devsdata.com","United States","Small (10–50)","DevsData provides software development, tech recruitment, and consulting services for startups and enterprises.","CEO","Competes globally; must continuously source clients needing remote engineers and squads.","Account-based outbound to CTOs and founders running distributed engineering teams.","ceo@devsdata.com"
"Recruitment / HR","Toptal","Talent marketplace","https://www.toptal.com","United States","Large (200–1000)","Toptal operates a curated marketplace of freelance software, design, and finance talent.","Head of Enterprise Sales","Needs more enterprise accounts to place large teams and long‑term engagements.","Target enterprises undergoing digital programs who need flexible talent augmentation.","enterprise@toptal.com"
"Recruitment / HR","Betts Recruiting","Go‑to‑market recruiting","https://bettsrecruiting.com","United States","Medium (50–200)","Betts Recruiting focuses on sales, marketing, and customer success hires for tech startups.","Head of Sales","Relies on cycles of hiring booms; needs proactive outreach when companies start building GTM teams.","Outbound to founders and CROs at Series A–C companies ramping their first GTM orgs.","sales@bettsrecruiting.com"
"Recruitment / HR","Insight Global","Staffing & recruitment","https://insightglobal.com","United States","Large (200–1000)","Insight Global is a large staffing firm placing talent across IT, engineering, and business roles.","Regional Manager","Huge database but also high churn; requires targeted outreach into new accounts and regions.","Automate territory-based outreach to hiring managers with local talent case studies.","manager@insightglobal.com"
"Recruitment / HR","Candidate Labs","Data-driven recruiting","https://www.candidatelabs.com","United States","Small (10–50)","Candidate Labs uses data to match startup talent with venture-backed companies.","Founder","Targets VC-backed startups; needs systematized outreach to new portfolios and emerging funds.","Outreach to investors and founders positioning themselves as the default GTM recruiting partner.","founder@candidatelabs.com"
"Recruitment / HR","Randstad Technologies","Global IT staffing","https://www.randstad.com","Netherlands","Large (200–1000)","Randstad Technologies provides IT staffing, consulting, and managed services worldwide.","Country Director","Must continually fill benches and win new staffing contracts in each geography.","Segmented outbound to CIOs and HR leaders in target industries needing tech talent at scale.","director@randstad.com"
"Recruitment / HR","Robert Half Technology","IT recruitment","https://www.roberthalf.com","United States","Large (200–1000)","Robert Half Technology specializes in placing IT professionals on contract and permanent roles.","Branch Manager","Branches compete locally; outbound is key to beating other agencies to new openings.","Local outbound to hiring managers with curated shortlists of pre‑vetted candidates.","branch@roberthalf.com"
"Recruitment / HR","Talhive","Tech recruitment agency","https://talhive.com","United States","Small (10–50)","Talhive is a tech recruiting agency built for product‑led companies and startups.","Founder","Niche focus means they must reliably tap into new product‑led startups across regions.","Outbound to product and engineering leaders at PLG startups hiring their next core team.","hello@talhive.com"
"Recruitment / HR","GetRocket","Tech recruitment firm","https://www.getrocket.com","United States","Small (10–50)","Rocket is a tech-powered recruitment firm combining AI and experienced recruiters for high‑growth companies.","Head of Growth","Needs a steady base of venture-backed and PE-backed clients that value premium recruiting.","Outreach to portfolio operations teams at PE/VC firms offering scalable recruiting support.","growth@getrocket.com"
"Recruitment / HR","Go Carpathian","Startup recruitment partner","https://gocarpathian.com","European Union","Small (10–50)","Go Carpathian helps startups hire globally with flat‑fee recruiting models.","Founder","Flat-fee model needs volume; outbound to startup ecosystems is essential.","Reach out to founders and COOs who are cost-sensitive but need quality hires quickly.","founder@gocarpathian.com"
"Recruitment / HR","Kforce","Professional staffing","https://www.kforce.com","United States","Large (200–1000)","Kforce is a professional staffing firm specializing in technology and finance roles.","Director of Client Solutions","Competes in crowded staffing markets; must constantly open new accounts in target metros.","Territory-based outbound into CIOs and finance leaders with local candidate pipelines.","solutions@kforce.com"
"Recruitment / HR","Hired","Tech recruiting marketplace","https://hired.com","United States","Medium (50–200)","Hired is a tech recruiting marketplace that connects engineers and tech talent with employers.","Head of Partnerships","Needs more employers on the platform to balance candidate supply and demand.","Outbound to tech companies' hiring managers and recruiters offering curated candidate pipelines.","partners@hired.com"

"E-commerce Brand","Allbirds","Sustainable footwear DTC","https://www.allbirds.com","United States","Large (200–1000)","Allbirds is a direct‑to‑consumer brand selling sustainable footwear and apparel.","Head of Ecommerce","Rising acquisition costs and competition from larger footwear brands pressure margins.","Outbound to retail and lifestyle partners plus wholesale accounts to diversify beyond paid ads.","ecom@allbirds.com"
"E-commerce Brand","Warby Parker","Eyewear DTC","https://www.warbyparker.com","United States","Large (200–1000)","Warby Parker sells prescription glasses and sunglasses via a DTC and retail model.","Head of Growth","Must drive repeat purchases and grow new customer cohorts across geographies.","Personalized outbound to local employers and student orgs for partnerships and referral programs.","growth@warbyparker.com"
"E-commerce Brand","Gymshark","Fitness apparel DTC","https://www.gymshark.com","United Kingdom","Large (200–1000)","Gymshark is a fitness apparel brand selling primarily direct‑to‑consumer worldwide.","Head of Performance Marketing","Heavily reliant on social ads and influencers; needs more owned and outbound channels.","Outreach to gym chains, coaches, and communities to build B2B partnerships and bulk deals.","performance@gymshark.com"
"E-commerce Brand","Glossier","Beauty DTC brand","https://www.glossier.com","United States","Large (200–1000)","Glossier is a beauty and skincare brand built on a strong direct‑to‑consumer community.","Head of CRM","Needs to re‑engage lapsed customers and grow new markets efficiently.","Lifecycle-focused outbound to influencers, salons, and retailers to create co‑branded activations.","crm@glossier.com"
"E-commerce Brand","Everlane","Apparel DTC brand","https://www.everlane.com","United States","Large (200–1000)","Everlane is a clothing brand emphasizing transparent pricing and ethical production.","Head of Marketing","Margins are under pressure; needs new customer segments and partnerships beyond paid channels.","Outreach to ethical fashion communities, marketplaces, and corporate gifting programs.","marketing@everlane.com"
"E-commerce Brand","Casper","Mattress & sleep DTC","https://casper.com","United States","Large (200–1000)","Casper sells mattresses and sleep products online and through retail partners.","VP Sales","High CAC and long replacement cycles require new channels like B2B and hospitality deals.","Outbound to hotels, co‑living spaces, and corporate wellness programs for bulk orders.","sales@casper.com"
"E-commerce Brand","Dollar Shave Club","Grooming subscription DTC","https://www.dollarshaveclub.com","United States","Large (200–1000)","Dollar Shave Club sells razors and grooming products via subscription and ecommerce.","Head of Growth","Subscription fatigue makes retention harder; needs better activation and reactivation flows.","Outbound to complementary brands for cross‑promos and bundles that drive new subscriber cohorts.","growth@dollarshaveclub.com"
"E-commerce Brand","Away","Luggage DTC brand","https://www.awaytravel.com","United States","Medium (50–200)","Away sells luggage and travel accessories directly to consumers.","Head of Partnerships","Travel cycles are volatile; needs partnerships to smooth demand and reach travelers.","Outreach to airlines, hotels, and co‑working spaces for co‑branded offers and bundles.","partners@awaytravel.com"
"E-commerce Brand","Bonobos","Menswear DTC brand","https://bonobos.com","United States","Medium (50–200)","Bonobos is a menswear brand selling online and through guideshops.","Head of Retail & Ecommerce","Must coordinate online and offline growth; needs local demand around stores.","Geo-targeted outbound to local businesses and events near guideshops for group offers.","ecom@bonobos.com"
"E-commerce Brand","Brooklinen","Home textiles DTC","https://www.brooklinen.com","United States","Medium (50–200)","Brooklinen sells bedding and home goods directly to consumers.","Head of Growth","Relies on paid media and word of mouth; needs additional B2B and partnership revenue.","Outbound to boutique hotels, Airbnbs, and interior designers for bulk and referral deals.","growth@brooklinen.com"
"E-commerce Brand","MeUndies","Underwear DTC","https://www.meundies.com","United States","Medium (50–200)","MeUndies is a DTC underwear and loungewear brand with membership options.","Head of Marketing","Subscription churn and rising CAC require more targeted re‑engagement and niche communities.","Outreach to creator communities and membership platforms for co‑branded campaigns.","marketing@meundies.com"
"E-commerce Brand","Ruggable","Washable rugs DTC","https://ruggable.com","United States","Medium (50–200)","Ruggable sells machine‑washable rugs online.","Head of Partnerships","Niche product benefits from visual inspiration and partnerships with designers.","Outbound to interior designers, home stagers, and property managers for recurring orders.","partners@ruggable.com"
"E-commerce Brand","Chubbies","Shorts & apparel DTC","https://www.chubbiesshorts.com","United States","Medium (50–200)","Chubbies sells casual shorts and apparel with a strong brand voice and DTC presence.","Head of Ecommerce","Seasonal demand spikes create uneven revenue; needs new recurring channels.","Outreach to event organizers, fraternities, and corporate gift programs for larger bulk orders.","ecom@chubbiesshorts.com"
"E-commerce Brand","Vuori","Performance apparel DTC","https://vuoriclothing.com","United States","Large (200–1000)","Vuori is a performance apparel brand growing through DTC and wholesale.","VP Sales","Rapid growth means constant need for new retail and gym partnerships to keep inventory moving.","Outbound into gyms and specialty retailers to expand wholesale footprint.","sales@vuoriclothing.com"
"E-commerce Brand","Pepper","Inclusive lingerie DTC","https://wearpepper.com","United States","Small (10–50)","Pepper is an inclusive lingerie brand focused on small‑chested women.","Founder","Niche audience; needs hyper‑targeted outreach and communities rather than broad ads.","Outreach to niche online communities and creators serving their core audience.","founder@wearpepper.com"
"E-commerce Brand","Harry's","Shaving & grooming DTC","https://www.harrys.com","United States","Medium (50–200)","Harry's is a DTC shaving and grooming brand selling razors and personal care products.","Head of Growth","Competes with other DTC grooming brands; needs differentiated partnerships and repeat channels.","Outbound to employers and subscription boxes for co-branded grooming kits.","growth@harrys.com"

"AI / Tech Startup","OpenAI","AI research & foundation models","https://openai.com","United States","Large (200–1000)","OpenAI develops advanced AI models and APIs used by developers and enterprises.","Head of Enterprise GTM","Huge inbound interest but also many undecided enterprises; outbound can accelerate large deals.","Account-based outbound into target enterprises with tailored AI transformation plays.","enterprise@openai.com"
"AI / Tech Startup","Anthropic","AI safety & foundation models","https://www.anthropic.com","United States","Large (200–1000)","Anthropic builds AI models like Claude with a focus on safety and reliability.","VP Sales","Competes in crowded LLM space; must reach regulated industries needing safer AI.","Outbound to compliance-heavy industries showcasing safer AI assistants for knowledge work.","sales@anthropic.com"
"AI / Tech Startup","Mistral AI","Open‑weight LLMs","https://mistral.ai","France","Medium (50–200)","Mistral AI develops efficient open‑weight large language models and tooling.","Head of Partnerships","Needs to win over European enterprises and partners seeking sovereign, open AI options.","Outbound to European ISVs, cloud providers, and enterprises needing EU‑centric AI options.","partners@mistral.ai"
